t,fundingRate
2024-11-14 08:00:00.000,0.0001
2024-11-14 16:00:00.000,0.0001
2024-11-15 00:00:00.000,0.0001
2024-11-15 08:00:00.000,0.0001
2024-11-15 16:00:00.000,0.0001
2024-11-16 00:00:00.001,0.0001
2024-11-16 08:00:00.001,0.00021024
2024-11-16 16:00:00.000,0.00034555
2024-11-17 00:00:00.000,0.00023724
2024-11-17 08:00:00.000,0.0001
2024-11-17 16:00:00.001,0.00034675
2024-11-18 00:00:00.000,0.00033668
2024-11-18 08:00:00.000,0.00040828
2024-11-18 16:00:00.000,0.0001
2024-11-19 00:00:00.000,0.00024425
2024-11-19 08:00:00.000,0.0004184
2024-11-19 16:00:00.000,0.0001
2024-11-20 00:00:00.003,0.0001025
2024-11-20 08:00:00.000,0.0001
2024-11-20 16:00:00.000,0.00014273
2024-11-21 00:00:00.001,0.0001
2024-11-21 08:00:00.000,0.0001
2024-11-21 16:00:00.001,0.0001
2024-11-22 00:00:00.000,0.00026783
2024-11-22 08:00:00.000,0.00036559
2024-11-22 16:00:00.001,0.00037518
2024-11-23 00:00:00.000,0.00035086
2024-11-23 08:00:00.000,0.00063331
2024-11-23 16:00:00.000,0.00056339
2024-11-24 00:00:00.001,0.0001
2024-11-24 08:00:00.000,0.00027602
2024-11-24 16:00:00.000,0.00024673
2024-11-25 00:00:00.000,0.0001
2024-11-25 08:00:00.000,0.0002913
2024-11-25 16:00:00.000,0.00017976
2024-11-26 00:00:00.000,0.0001
2024-11-26 08:00:00.000,0.00019826
2024-11-26 16:00:00.000,0.0001
2024-11-27 00:00:00.000,0.0001
2024-11-27 08:00:00.000,0.00013379
2024-11-27 16:00:00.001,0.0001656
2024-11-28 00:00:00.000,0.00016316
2024-11-28 08:00:00.000,0.00010132
2024-11-28 16:00:00.000,0.00010378
2024-11-29 00:00:00.000,0.00020196
2024-11-29 08:00:00.000,0.00027359
2024-11-29 16:00:00.000,0.00029969
2024-11-30 00:00:00.000,0.00030277
2024-11-30 08:00:00.000,0.00025546
2024-11-30 16:00:00.000,0.00022188
2024-12-01 00:00:00.000,0.00025873
2024-12-01 08:00:00.000,0.00022679
2024-12-01 16:00:00.000,0.00011173
2024-12-02 00:00:00.001,0.00055902
2024-12-02 08:00:00.001,0.00018994
2024-12-02 16:00:00.000,0.00011197
2024-12-03 00:00:00.000,0.00036142
2024-12-03 08:00:00.000,0.00051503
2024-12-03 16:00:00.000,0.00012244
2024-12-04 00:00:00.000,0.0004215
2024-12-04 08:00:00.000,0.00044774
2024-12-04 16:00:00.000,0.00032802
2024-12-05 00:00:00.001,0.00033226
2024-12-05 08:00:00.000,0.00070264
2024-12-05 16:00:00.000,0.00048066
2024-12-06 00:00:00.000,0.00038139
2024-12-06 08:00:00.000,0.0004284
2024-12-06 16:00:00.000,0.00011806
2024-12-07 00:00:00.000,0.00044794
2024-12-07 08:00:00.000,0.00039236
2024-12-07 16:00:00.000,0.00038653
2024-12-08 00:00:00.000,0.00066812
2024-12-08 08:00:00.000,0.00040738
2024-12-08 16:00:00.000,0.00014485
2024-12-09 00:00:00.000,0.00029186
2024-12-09 08:00:00.000,0.0001414
2024-12-09 16:00:00.001,0.0001
2024-12-10 00:00:00.007,0.0001
2024-12-10 08:00:00.000,0.0001
2024-12-10 16:00:00.000,0.0001
2024-12-11 00:00:00.000,3.841e-05
2024-12-11 08:00:00.000,0.0001
2024-12-11 16:00:00.001,0.0001
2024-12-12 00:00:00.001,0.0001
2024-12-12 08:00:00.000,0.0001
2024-12-12 16:00:00.001,0.0001
2024-12-13 00:00:00.000,0.0001
2024-12-13 08:00:00.000,0.0001
2024-12-13 16:00:00.001,0.0001
2024-12-14 00:00:00.000,0.0001
2024-12-14 08:00:00.000,0.0001
2024-12-14 16:00:00.000,0.0001
2024-12-15 00:00:00.000,0.0001
2024-12-15 08:00:00.000,1.095e-05
2024-12-15 16:00:00.000,0.0001
2024-12-16 00:00:00.000,0.0001
2024-12-16 08:00:00.001,0.0001
2024-12-16 16:00:00.000,0.0001
2024-12-17 00:00:00.000,0.0001
2024-12-17 08:00:00.000,0.0001
2024-12-17 16:00:00.000,0.0001
2024-12-18 00:00:00.000,0.0001
2024-12-18 08:00:00.000,2.74e-05
2024-12-18 16:00:00.000,6.334e-05
2024-12-19 00:00:00.000,-0.00010401
2024-12-19 08:00:00.000,8.173e-05
2024-12-19 16:00:00.000,3.638e-05
2024-12-20 00:00:00.000,-0.0001805
2024-12-20 08:00:00.001,8.079e-05
2024-12-20 16:00:00.014,-6.54e-05
2024-12-21 00:00:00.000,6.944e-05
2024-12-21 08:00:00.000,-0.00011222
2024-12-21 16:00:00.001,7.087e-05
2024-12-22 00:00:00.000,5.272e-05
2024-12-22 08:00:00.000,6.972e-05
2024-12-22 16:00:00.000,-3.343e-05
2024-12-23 00:00:00.000,-1.71e-05
2024-12-23 08:00:00.000,2.979e-05
2024-12-23 16:00:00.001,-3.872e-05
2024-12-24 00:00:00.000,0.0001
2024-12-24 08:00:00.000,4.579e-05
2024-12-24 16:00:00.001,-1.995e-05
2024-12-25 00:00:00.001,-1.967e-05
2024-12-25 08:00:00.000,-3.176e-05
2024-12-25 16:00:00.000,-0.00010236
2024-12-26 00:00:00.000,7.149e-05
2024-12-26 08:00:00.000,-2.965e-05
2024-12-26 16:00:00.000,1.776e-05
2024-12-27 00:00:00.000,2.621e-05
2024-12-27 08:00:00.000,-4.522e-05
2024-12-27 16:00:00.000,-2.24e-05
2024-12-28 00:00:00.001,4.726e-05
2024-12-28 08:00:00.000,3.847e-05
2024-12-28 16:00:00.000,6.029e-05
2024-12-29 00:00:00.000,0.0001
2024-12-29 08:00:00.000,0.0001
2024-12-29 16:00:00.000,9.536e-05
2024-12-30 00:00:00.000,2.163e-05
2024-12-30 08:00:00.001,5.743e-05
2024-12-30 16:00:00.000,7.798e-05
2024-12-31 00:00:00.000,9.594e-05
2024-12-31 08:00:00.000,6.013e-05
2024-12-31 16:00:00.000,0.0001
2025-01-01 00:00:00.015,6.602e-05
